GeneSet_des	Ori_p	Adj_p	gsSize	gsSize_net	intSize	intSize_net	OverlapSize	InterestingGeneListID	Essential overlapped genes (sorted by weight)	Essential neighbor genes (sorted by weight)
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	0.58	1	22	18	170	151	0	GSE10780		BTAF1,RPS3A,DNAJC3,GLTSCR2,AMIGO2,DBNL,MELK,CCNB1,FOXN3,SMC4,PPL,STAT4,EFHA2,ITM2A,GPRASP1,SPINT2,STX6,GPRASP2,CX3CL1
REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS	0.58	1	27	21	170	151	0	GSE10780		PRR15,SEMA5A,KIAA1751,KL,GLB1,CLDN11,CD300LG,FAM13A,EDNRB,DENND2A,PEAR1
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	0.58	1	33	30	170	151	0	GSE10780		WHSC1,INTS7,SMC4,RPL14,BTAF1,DUT,CCNB1,ATAD2,LMNB1,PSMD14,ZWILCH,TRIP13,MTDH,CKAP2,TWISTNB,PBK,PSMA7,RPL11,TTK,KIF2C,RPS3A,SHCBP1,GLTSCR2,NUSAP1,SGOL2,KIF20A,GTF2I,CDCA8,CENPA,MELK,EXO1,CEP55,CDCA3,UBE2C,CDKN3,MRPL14,TMEM206,HJURP,STX6,AMIGO2,ALKBH2,NAB1,CRYAB
BIOCARTA_CTCF_PATHWAY	0.59	1	23	18	170	151	0	GSE10780	TGFBR3	RPL14,FIGF,SMC4,MTDH,EGF,PDGFD,BTAF1,CRYAB,FOXN3,RPS3A,CCNB1,CEP55,DNAJC3,PBK,CHI3L1,MAMDC2,ZWILCH,GTF2I,LMNB1,CKAP2,LAMA3,NUSAP1,CENPA,WHSC1,GLTSCR2,DMD,SGOL2,KIF20A,UBE2C,DENND2A,TCF7L1,EDNRB,GLT8D2,E2F1,SEMA5A,LIFR,PALMD,RGMA,CX3CL1,TWISTNB,MRPL14,ABCB1,PPME1
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	0.59	1	18	16	170	151	0	GSE10780		GTF2I,STX6,ANLN,MTDH,ITM2A,ODZ2,GPRASP2,GPRASP1,PNMAL1,CX3CL1,CEP55,ABCB1,RELN,DMD,EFHA2,FOXN3,KIAA1751,NAB1,SEMA5A,CBX7
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	0.59	1	121	96	170	151	2	GSE10780	GNG7	ICMT,VAPB,EDNRB,CLDN11,GLB1,FAM13A,PDGFD,LHFPL2,PEAR1,GPRASP1,KIAA1751,MOCS1,LHFP,CX3CL1,RELN,PNMAL1,GLT8D2,RGMA,GPC3,ACOT12,NKX6-1,SEMA5A,ILDR1,EGR1,CHRDL1,SCARA5,PALMD,IL25
BIOCARTA_GSK3_PATHWAY	0.6	1	27	26	170	151	0	GSE10780		MTDH,RPL14,GTF2I,STX6,DNAJC3,GLB1,GLTSCR2,RPL11,DMD,PSMA7,SMC4,FOXN3,NAB1,DBNL,TGFBR3,EFHA2,PPL,SPRY1,NAV2,CEP55,LHFPL2,ANLN,GPRASP1,SPINT2,GPRASP2,CLDN11,CRYAB,LAMA3,FAM13A,FIGF,PDGFD,TCF7L1,PPME1,CXCL14,GPC3
BIOCARTA_INTRINSIC_PATHWAY	0.6	1	23	19	170	151	0	GSE10780		FIGF,ACOT12,TCF7L1,LAMA3,CRYAB,GPC3,DMD,GPIHBP1,PDGFD,EGF,DENND2A,LIFR,OSR1,GAS1,PALMD,SEMA5A,MAMDC2,EDNRB,PEAR1,CHRDL1,FAM176A,CHI3L1
KEGG_MAPK_SIGNALING_PATHWAY	0.6	1	267	227	170	151	3	GSE10780	EGF	STX6,GTF2I,MELK,MTDH,DMD,RPS3A,EFHA2,NAB1,CRYAB,GPRASP2,VAPB,FIGF,LSM14B,TCF7L1,DENND2A,DBNL,DNAJC3,ABCB1,GPRASP1,PDGFD,FAM13A,FXYD1,GLT8D2,LIFR,CX3CL1,SPRY1,SEMA5A,TGFBR3,ITM2A,CXCL14,IL11RA,SPINT2,EBF1,KIAA1751,PPL,KLHL13,TRPC1,USP31,CLDN11,PALMD,PAMR1,GTF2IRD1,MME,ODZ2,PLEKHH2,CHRDL1,EGR1,PER1,GNG7,CSRNP3,HOXA5,FAM176A,RCSD1,ICMT,C19orf21,CABP7,PPAP2B,RGMA,SCN4B,TCEAL2,MAMDC2,LHFP,PEAR1,STAT4,EDNRB,STC2,CCDC50,NR2F2,COL10A1,E2F1
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.6	1	13	12	170	151	0	GSE10780	PER1	GTF2I,DNAJC3,MELK,SEMA5A,EFHA2,GLB1,GPRASP1,DMD,MTDH,NAB1,STX6,CRYAB,CBX7,DENND2A
REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION	0.6	1	13	10	170	151	0	GSE10780		RPL11,RPS3A,SMC4,KIF2C,RPL14,ATAD2,GTF2I,PSMD14,PSMA7,DMD,WHSC1,DUT,CRYAB,CKAP2,GLB1,CAPN6,BTAF1,TTK,CCNB1,STX6,NUSAP1,DBNL,PPL,SPINT2
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.6	1	10	9	170	151	1	GSE10780	ABCB1	GTF2I,ACOT12,KL,MRPL14,FXYD1,FAM176A
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	0.6	1	34	26	170	151	0	GSE10780		DMD,GPRASP2,CLDN11,STX6,TRPC1,CRYAB,CX3CL1,GPRASP1,CHRM5,HS3ST4,CORO2B,CSRNP3,C19orf21,DENND2A,KIAA1751,CBX7,MME,KL
REACTOME_GABA_A_RECEPTOR_ACTIVATION	0.6	1	12	11	170	151	0	GSE10780		GPRASP2,DMD,CLDN11,CHRM5,HS3ST4,CXCL14,PAMR1,CX3CL1,GPRASP1
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.61	1	69	58	170	151	1	GSE10780		ACOT12,FIGF,EGF,FAM176A,KIAA1751,PEAR1,GPIHBP1,GPC3,PDGFD,PAMR1,EDNRB,CHI3L1,LIFR,GAS1,PALMD,LPL,FXYD1,CRYAB,TCF7L1,CDH12,COL10A1,TGFBR3,ODZ2,MAMDC2,CHRDL1
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	0.61	1	59	41	170	151	0	GSE10780		PDGFD,ST6GALNAC5,ABCB1,HS3ST4,CBFA2T3,DENND2A,NAB1,LAMA3
REACTOME_RNA_POL_I_TRANSCRIPTION	0.61	1	89	49	170	151	0	GSE10780		RPL14,RPS3A,RPL11,CCNB1,DUT,SMC4,INTS7,BTAF1,PSMD14,PSMA7,TRIP13,ATAD2,GLTSCR2,KIF2C,PBK,WHSC1,LMNB1,ZWILCH,SGOL2,MRPL14,CENPA,NUSAP1,CEP55,MELK,GTF2I,TTK,ANLN,EXO1,TWISTNB,CDCA8,CKAP2,DHRS13,KIF20A,UBE2C,MTDH,SHCBP1,CDCA3,ABCB1,CDKN3,DMD,MME,LHFPL2,CHI3L1,EFHA2,ALKBH2,NKX6-1,AMIGO2,CBX7,CRYAB,LHFP,TCF7L1,CDC42EP5,NAV2,LIFR,PEAR1,STC2,GTF2IRD1,CHRDL1,GAS1
REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT	0.61	1	21	20	170	151	0	GSE10780		CHRM5,GPRASP2,DMD,CLDN11,EFHA2,PAMR1,HS3ST4,CXCL14,TRPC1,FXYD1,CX3CL1,GPRASP1
BIOCARTA_INTEGRIN_PATHWAY	0.62	1	38	33	170	151	3	GSE10780		RPS3A,RPL14,RPL11,DMD,GTF2I,DUT,STX6,MELK,MTDH,CCNB1,PSMA7,CRYAB,GLB1,BTAF1,SMC4,DNAJC3,PBK,PEAR1,INTS7,ANLN,EGF,KIF2C,FIGF,GTF2IRD1,DBNL,EFHA2,NAB1,VAPB,CHRDL1,LSM14B,DENND2A,PDGFD,GYPC,ZNF502,SCARA5,RERGL,TMEM206,CHI3L1,LAMA3,GPRASP1,TRPC1,ODZ2
BIOCARTA_IGF1R_PATHWAY	0.62	1	23	22	170	151	0	GSE10780		GTF2I,RPS3A,STX6,RPL14,RPL11,PSMA7,MTDH,BTAF1,MELK,DUT,DNAJC3,PBK,DBNL,CRYAB,ITM2A,INTS7,GLB1,EFHA2,GPRASP1,ANLN,PPL,FOXN3,LSM14B,TTK,IL11RA,NAB1,ODZ2,GPRASP2,DMD,SPINT2,TMEM206,PNMAL1,CX3CL1,KIAA1751
REACTOME_OLFACTORY_SIGNALING_PATHWAY	0.62	1	328	196	170	151	0	GSE10780	OR51I2	IRX1,VAPB,ICMT,GNG7,CDH12,FAM150B,CSRNP3
REACTOME_POTASSIUM_CHANNELS	0.62	1	98	91	170	151	3	GSE10780	KCNMB1,KCNJ16,GNG7	DMD,FXYD1,HS3ST4,SEMA5A,CX3CL1,SCN4B,DENND2A,KIAA1751,CLDN11,CXCL14,CHRM5,C19orf21,KL,RELN,PAMR1,CD300LG,ICMT,VAPB,EGF,LHFPL2,CCDC8
BIOCARTA_KERATINOCYTE_PATHWAY	0.63	1	46	39	170	151	2	GSE10780	EGF,HOXA7	GTF2I,LMNB1,MELK,STX6,RPL11,RPL14,RPS3A,MTDH,DNAJC3,ABCB1,AMIGO2,STAT4,LIFR,CCDC50,CRYAB,TWISTNB,FAM13A,EFHA2,HS3ST4,CX3CL1,SPRY1,TCF7L1,LSM14B,GNG7,SGOL2,PDGFD,RCSD1,SEMA5A,ITM2A,EBF1,CDCA3,ODZ2,PALMD,PLEKHH2,PPME1,GPRASP1,CHRM5,LAMA3,GTF2IRD1,TRPC1,IL11RA,FIGF,HOXA5,GLT8D2,FAM176A,CHRDL1,GAS1,CXCL14,GPC3,SPINT2,EGR1
BIOCARTA_LECTIN_PATHWAY	0.63	1	12	10	170	151	0	GSE10780		ACOT12,KIAA1751,FXYD1,EDNRB,ODZ2,ABCB1,CHI3L1
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.63	1	17	14	170	151	1	GSE10780	MME	ABCB1,GLB1,RPL11,FXYD1,GPC3,RGMA,MTDH,DMD,LHFPL2,DHRS13,CRYAB,TGFBR3
KEGG_OLFACTORY_TRANSDUCTION	0.63	1	389	231	170	151	0	GSE10780	OR51I2	IRX1,CAPN6,ITM2A,CDH12,GNG7,MOCS1,CSRNP3,CCNB1IP1,FAM150B,CCDC50
REACTOME_SIGNALING_BY_RHO_GTPASES	0.63	1	113	91	170	151	4	GSE10780	FAM13A	DMD,ANLN,GTF2I,RPS3A,GLB1,SGOL2,LMNB1,CEP55,STX6,NAB1,ABCB1,MTDH,VAPB,ODZ2,PBK,SMC4,EFHA2,AMIGO2,STAT4,DBNL,CDCA3,MELK,CDKN3,TTK,SPRY1,RCSD1,CENPA,CBFA2T3,KIF20A,KIF2C,UBE2C,NUSAP1,PEAR1,CHI3L1,CKAP2,EXO1,SEMA5A,ZWILCH,CX3CL1,CDCA8,NAV2,GPRASP2,TRPC1,SHCBP1,GPRASP1,TRIP13,CSRNP3,ITM2A,NR2F2,CABP7,LHFP,PNMAL1,PLEKHH2,MOSPD3,TBCEL,GTF2IRD1,EDNRB,FXYD1,C19orf21,GAS1,GIPC2,FIGF,LIFR,CHRDL1
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	0.63	1	15	14	170	151	0	GSE10780		GLB1,KIAA1751,FIGF,GLT8D2,ABCB1,CX3CL1,FAM176A,RGMA,C19orf21
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.63	1	186	159	170	151	2	GSE10780	GNG7,KCNJ16	DMD,CHRM5,GPRASP2,CLDN11,STX6,CX3CL1,CRYAB,EFHA2,TRPC1,GPRASP1,RPS3A,HS3ST4,MELK,PNMAL1,FXYD1,ICMT,CXCL14,EBF1,RELN,USP31,MOCS1,KIAA1751,VAPB,GLB1,PAMR1,DENND2A,CAPN6,ITM2A,CORO2B,CSRNP3,RGMA,PPAP2B,LSM14B,GPIHBP1,SCN4B,CCNB1IP1,EDNRB,CCDC50,FAM13A,PEAR1,LHFPL2,CHI3L1,SEMA5A,SCARA5,FOXN3,D4S234E,KL,CHRDL1,CBX7,KCNMB1
REACTOME_GABA_RECEPTOR_ACTIVATION	0.63	1	52	49	170	151	2	GSE10780	GNG7,KCNJ16	DMD,GPRASP2,CHRM5,VAPB,GLB1,CLDN11,ICMT,LMNB1,CXCL14,CX3CL1,PAMR1,RELN,HS3ST4,DENND2A,STX6,FAM13A,PEAR1,LHFPL2,PNMAL1,CHI3L1,FXYD1,CSRNP3,GPRASP1,SEMA5A,KCNMB1
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	0.64	1	81	67	170	151	1	GSE10780		MTDH,PSMA7,GTF2I,RPL14,GLB1,RPS3A,STX6,RPL11,DMD,ANLN,SMC4,DNAJC3,TWISTNB,PSMD14,NAB1,EFHA2,VAPB,LMNB1,BTAF1,GLTSCR2,INTS7,KIF2C,SGOL2,PBK,TTK,ATAD2,CCNB1,DUT,SHCBP1,ZWILCH,TRIP13,ODZ2,FAM13A,STAT4,AMIGO2,CBFA2T3,LHFPL2,DBNL,EXO1,NUSAP1,KIF20A,ABCB1,WHSC1,MELK,CX3CL1,SEMA5A,CRYAB,NAV2,GNG7,CENPA,CEP55,RCSD1,PEAR1,CKAP2,LSM14B,NR2F2,CDKN3,CSRNP3,PNMAL1,TRPC1,MOSPD3,LHFP,CABP7,GPRASP1,CLDN11,PLEKHH2,TBCEL,GTF2IRD1,D4S234E,CBX7,FAM176A,GPRASP2,TCEAL2,C19orf21,GIPC2,FXYD1
REACTOME_METABOLISM_OF_NUCLEOTIDES	0.64	1	72	59	170	151	1	GSE10780	DUT	RPL14,CCNB1,RPL11,RPS3A,SMC4,INTS7,TRIP13,WHSC1,ATAD2,ZWILCH,PSMA7,PSMD14,SHCBP1,KIF2C,PBK,CKAP2,EXO1,KIF20A,LMNB1,TTK,BTAF1,MELK,NUSAP1,CENPA,GLTSCR2,CDCA8,UBE2C,TWISTNB,SGOL2,GTF2I,CDCA3,CDKN3,CEP55,MTDH,TMEM206,ANLN,MRPL14,DHRS13,GLB1,ALKBH2,ABCB1,RMI2,EFHA2,CRYAB,ACOT12,CLDN11,MOCS1,GPC3,ICMT,GTF2IRD1,PALMD
REACTOME_GPCR_DOWNSTREAM_SIGNALING	0.64	1	805	569	170	151	8	GSE10780	GNG7,EDNRB,CHRM5,OR51I2,OXTR,CCL21	DMD,ICMT,GPRASP1,CX3CL1,STAT4,KIAA1751,FAM13A,RELN,DENND2A,VAPB,CXCL14,USP31,ITM2A,IRX1,CBFA2T3,CSRNP3,NR2F2,HS3ST4,PNMAL1,EGR1,FIGF,PLEKHH2,DBNL,CASP1,TGFBR3,PEAR1,SCARA5,RGMA,FOXN3,NKX6-1,GIPC2,ILDR1,RERGL,CDH12,FAM150B
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.64	1	38	36	170	151	2	GSE10780	GNG7,KCNJ16	GLB1,VAPB,LMNB1,ICMT,RPL11,RPS3A,MTDH,DMD,STX6,DNAJC3,PEAR1,FAM13A,CLDN11,RELN,LHFPL2,CX3CL1,CHRM5,CHI3L1,NAB1,CXCL14,DENND2A,CSRNP3,PNMAL1,FXYD1,PAMR1,KIAA1751,SEMA5A,KCNMB1
BIOCARTA_CDMAC_PATHWAY	0.65	1	16	13	170	151	1	GSE10780		STX6,GTF2I,MELK,RPL14,RPS3A,PSMA7,RPL11,CRYAB,SGOL2,SMC4,MRPL14,USP31,BTAF1,EFHA2,CCNB1,TWISTNB,PBK,DNAJC3,DUT,ODZ2,LSM14B,GLTSCR2,ABCB1,CEP55,ANLN,GLB1,CSRNP3,EGR1
REACTOME_METABOLISM_OF_NON_CODING_RNA	0.65	1	49	44	170	151	0	GSE10780		INTS7,WHSC1,SMC4,RPL14,BTAF1,CCNB1,ATAD2,PSMD14,DUT,TRIP13,ZWILCH,LMNB1,TWISTNB,PSMA7,RPL11,PBK,KIF2C,RPS3A,CKAP2,GLTSCR2,GTF2I,NUSAP1,SGOL2,MTDH,SHCBP1,KIF20A,TTK,CDCA8,MELK,CEP55,CENPA,EXO1,CDCA3,MRPL14,UBE2C,CDKN3,ALKBH2,TMEM206,ANLN,HJURP,STX6,AMIGO2,NAB1,DHRS13
REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION	0.65	1	13	12	170	151	0	GSE10780		GLB1,MTDH,RPS3A,MELK,STX6,VAPB,NAB1,DBNL,GYPC,PEAR1,CHRDL1,LMNB1,DNAJC3,CX3CL1,FAM13A,SEMA5A
KEGG_SULFUR_METABOLISM	0.66	1	13	11	170	151	0	GSE10780		DNAJC3,CRYAB,FAM13A
REACTOME_ANDROGEN_BIOSYNTHESIS	0.66	1	10	9	170	151	0	GSE10780		DMD,ACOT12,DENND2A,CCDC8
KEGG_O_GLYCAN_BIOSYNTHESIS	0.67	1	30	23	170	151	0	GSE10780		GLB1,PDGFD,DNAJC3,STX6,ST6GALNAC5,HS3ST4,ABCB1,DENND2A,KIAA1751
KEGG_FOLATE_BIOSYNTHESIS	0.67	1	11	10	170	151	0	GSE10780		DMD,GPIHBP1,SCARA5,GPC3,RGMA,EXO1,PPP1R14A
REACTOME_REGULATION_OF_KIT_SIGNALING	0.67	1	17	14	170	151	1	GSE10780		MELK,RPS3A,BTAF1,DUT,STX6,RPL11,MTDH,GLTSCR2,AMIGO2,DMD,PSMA7,STAT4,GTF2I,DBNL,ITM2A,PBK,NAB1,TMEM206,EFHA2
KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.68	1	56	53	170	151	0	GSE10780	GAS1	MELK,STX6,GPC3,CHI3L1,MTDH,LAMA3,NAB1,ITM2A,LSM14B,DMD,EFHA2,MAB21L1,GPRASP1,ICMT,LPL,EBF1,STC2,GLT8D2,C19orf21,MAMDC2,FOXN3,COL10A1,HJURP,DENND2A,LIFR,PLEKHH2,KL
KEGG_TASTE_TRANSDUCTION	0.68	1	52	25	170	151	0	GSE10780		LMNB1,ICMT,STX6,VAPB,GNG7,CLDN11,RPS3A,GTF2I,MTDH,HS3ST4,EBF1,PDGFD,ITM2A,DMD,MOCS1,GPRASP1,KIAA1751,PPAP2B,KCNJ16,CX3CL1,KCNMB1,PALMD
REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	0.68	1	27	22	170	151	0	GSE10780		ACOT12,GLB1,RPL11,DMD,EGF,RPL14,RPS3A,DNAJC3,KIAA1751,EFHA2,FIGF,ICMT,PDGFD,EDNRB,DHRS13,PEAR1,NAV2,ALKBH2,LHFPL2,NAB1,PLEKHH2
REACTOME_SYNTHESIS_OF_DNA	0.68	1	92	74	170	151	0	GSE10780	PSMD14,PSMA7	CCNB1,RPL14,SMC4,RPS3A,INTS7,TRIP13,DUT,ZWILCH,RPL11,ATAD2,BTAF1,PBK,KIF2C,GTF2I,NUSAP1,SHCBP1,WHSC1,TTK,KIF20A,CKAP2,MELK,CDCA3,SGOL2,CENPA,LMNB1,CDKN3,UBE2C,CEP55,CDCA8,MRPL14,EXO1,MTDH,GLTSCR2,ANLN,TWISTNB,RMI2,ALKBH2,DHRS13,STX6,ABCB1,MME,RCSD1,LSM14B,C5orf4,MOCS1,TBCEL,FOXN3
REACTOME_ION_CHANNEL_TRANSPORT	0.68	1	55	48	170	151	0	GSE10780		DMD,CHRM5,GPRASP2,EFHA2,SEMA5A,CLDN11,MOCS1,HS3ST4,CXCL14,PAMR1,TRPC1,STX6,GLT8D2,KIAA1751,NAB1,FAM13A,FXYD1,CX3CL1,TCEAL2,GPRASP1,PEAR1
BIOCARTA_AKAP13_PATHWAY	0.69	1	12	10	170	151	0	GSE10780		RPL14,STX6,MTDH,RPL11,GTF2I,ITM2A,RPS3A,GPRASP1,CEP55,EFHA2,GLB1,DENND2A,GNG7
REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING	0.69	1	37	29	170	151	3	GSE10780	KL	GTF2I,STX6,RPS3A,PSMA7,RPL11,RPL14,MELK,MTDH,TWISTNB,DMD,CRYAB,DUT,DENND2A,PSMD14,TCF7L1,EFHA2,PPME1,GLT8D2,LSM14B,DNAJC3,SPRY1,IL11RA,PDGFD,GTF2IRD1,FXYD1,DBNL,KIAA1751,SEMA5A,RGMA,IL25,COL10A1
REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING	0.69	1	13	12	170	151	0	GSE10780		RPS3A,RPL11,RPL14,STX6,GTF2I,DUT,GLB1,PSMA7,PSMD14,MTDH,DMD,KIF2C,MRPL14,TWISTNB,CRYAB,LMNB1,DNAJC3,GLTSCR2,PDGFD,GPRASP2,MELK,CBFA2T3,PRR15,CXCL14,CHRM5,HS3ST4
REACTOME_SEROTONIN_RECEPTORS	0.69	1	12	6	170	151	0	GSE10780		HS3ST4,GPRASP1,GPRASP2
REACTOME_PLATELET_HOMEOSTASIS	0.69	1	78	64	170	151	3	GSE10780	GNG7,KCNMB1	GTF2I,LMNB1,STX6,RPS3A,ICMT,PPME1,MTDH,ATAD2,PSMA7,VAPB,GLB1,DNAJC3,EDNRB,PDGFD,DMD,NAB1,EFHA2,CLDN11,MOCS1,LHFPL2,ABCB1,LSM14B,PEAR1,LHFP,FOXN3,GPRASP1,SEMA5A,KIAA1751,KCNJ16,KLHL13,RGS9BP,GLT8D2,DENND2A,CX3CL1,TCEAL2,IL25,CAPN6,FIGF,EGR1,LPL,PALMD,DBNL
BIOCARTA_MTA3_PATHWAY	0.7	1	19	15	170	151	0	GSE10780		RPL14,RPS3A,PSMA7,RPL11,GTF2I,KIF2C,CRYAB,WHSC1,SMC4,DUT,NUSAP1,PSMD14,ABCB1,CCNB1,MTDH,GLB1,PBK,LMNB1,TRIP13,TWISTNB,DMD,INTS7,MME,CDCA3,UBE2C,CHI3L1,ANLN,EXO1,KIF20A,MELK,SHCBP1,BTAF1,CEP55,SGOL2,TTK,MRPL14,ATAD2,ZWILCH,GLTSCR2,CKAP2,EGF,CENPA,ICMT,STX6,CDCA8,FIGF,ODZ2,NAV2,NR2F2,CX3CL1,FXYD1,FAM176A,GPC3,PPL,LAMA3,IL25,PALMD,GAS1,NR3C2,CD300LG,CAPN6
BIOCARTA_MEF2D_PATHWAY	0.7	1	23	14	170	151	0	GSE10780		RPS3A,RPL11,SMC4,RPL14,GTF2I,KIF2C,BTAF1,ATAD2,MTDH,INTS7,CCNB1,DMD,PSMD14,WHSC1,CKAP2,STX6,TTK,PSMA7,NUSAP1,GLB1,DUT,CAPN6,TWISTNB,LMNB1,PBK,SGOL2,ZWILCH,SHCBP1,GLTSCR2,ANLN,LSM14B,NAB1,EXO1,MELK,TRIP13,ICMT,PEAR1,CENPA,KIF20A,STAT4,AMIGO2,CBX7,EFHA2,TMEM206,NR2F2,CX3CL1,CDCA8,CRYAB
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.7	1	17	13	170	151	1	GSE10780		RPL11,RPL14,RPS3A,CCNB1,WHSC1,ATAD2,DUT,INTS7,PSMD14,PSMA7,SMC4,TRIP13,EXO1,GLB1,BTAF1,KIF20A,PBK,MTDH,GTF2I,KIF2C,GLTSCR2,ZWILCH,TMEM206,CKAP2,TWISTNB,SHCBP1,UBE2C,ALKBH2,DHRS13,NUSAP1,TTK,RMI2,CENPA,CDCA8,DNAJC3,MME,LSM14B,FXYD1,MOCS1,C19orf21,ACOT12
KEGG_ERBB_SIGNALING_PATHWAY	0.7	1	87	81	170	151	2	GSE10780	EGF	STX6,MELK,GTF2I,RPL14,RPS3A,PSMA7,MTDH,DNAJC3,LMNB1,EFHA2,PBK,GPRASP2,RPL11,BTAF1,NAB1,DMD,SMC4,ABCB1,ANLN,FAM13A,LIFR,DBNL,SPRY1,GLB1,GPRASP1,TCF7L1,CHRM5,PDGFD,LSM14B,CEP55,SEMA5A,CRYAB,PPL,PALMD,FOXN3,CX3CL1,EBF1,HS3ST4,PLEKHH2,MOCS1,LAMA3,CXCL14,IL11RA,GTF2IRD1,HOXA5,ITM2A,FIGF,FAM176A,GLT8D2,TRPC1,CCNB1IP1,USP31,CHRDL1,SPINT2,GAS1,CCDC50,EGR1,STAT4,KLHL13,CSRNP3,DENND2A,CASP1,ODZ2,CD300LG,C19orf21
REACTOME_ENDOGENOUS_STEROLS	0.7	1	15	14	170	151	0	GSE10780		ACOT12,CX3CL1,KIAA1751,LIFR,GPRASP2,CLDN11
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	0.7	1	22	15	170	151	1	GSE10780		RPL14,RPS3A,RPL11,DUT,PSMD14,GTF2I,PSMA7,KIF2C,WHSC1,CCNB1,SMC4,TRIP13,TWISTNB,ATAD2,INTS7,SHCBP1,PBK,CKAP2,BTAF1,LMNB1,ZWILCH,MTDH,GLTSCR2,MRPL14,NUSAP1,MELK,CDCA3,CEP55,ANLN,KIF20A,ABCB1,VAPB,ALKBH2,TTK,UBE2C,EXO1,TMEM206,SGOL2,ODZ2,GLB1,CDCA8,PPME1,EFHA2,DMD,CRYAB,NAV2,CDKN3,NAB1
REACTOME_CD28_CO_STIMULATION	0.7	1	32	27	170	151	0	GSE10780		RPS3A,BTAF1,STX6,MTDH,DNAJC3,PSMA7,RPL14,GLB1,RPL11,GTF2I,MELK,AMIGO2,CCNB1,STAT4,VAPB,DBNL,GLTSCR2,NAB1,DMD,SMC4,PPL,FOXN3,ITM2A,EFHA2,GPRASP1,CBFA2T3,SPINT2,FAM13A,GPRASP2,CX3CL1
BIOCARTA_SARS_PATHWAY	0.71	1	10	9	170	151	0	GSE10780		RPL11,PSMA7,RPL14,RPS3A,LMNB1,GTF2I,PSMD14,MELK,GLTSCR2,CCNB1,INTS7,TWISTNB,DUT,TRIP13,ATAD2,ZWILCH,KIF2C,SMC4,WHSC1,BTAF1,CKAP2,PBK,MTDH,SHCBP1,CDCA8,TTK,UBE2C,SGOL2,NUSAP1,KIF20A,CEP55,ITM2A,CENPA,CDCA3,DNAJC3,TMEM206,MRPL14,STX6,MME,ALKBH2
REACTOME_SIGNALING_BY_HIPPO	0.71	1	22	14	170	151	1	GSE10780		MTDH,RPL11,TWISTNB,RPL14,SMC4,TTK,RPS3A,NAB1,DNAJC3,DMD,GLTSCR2,STX6,GLB1,DUT,GTF2I,PSMA7,TCF7L1,NAV2,PSMD14,CLDN11,LSM14B,KIF2C,PPL,CKAP2,DENND2A,GLT8D2,PDGFD,GPC3,PLEKHH2,LAMA3
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.71	1	54	41	170	151	0	GSE10780		INTS7,WHSC1,SMC4,BTAF1,RPL14,CCNB1,ATAD2,LMNB1,DUT,ZWILCH,MTDH,PSMD14,TRIP13,GLTSCR2,TWISTNB,PSMA7,RPS3A,RPL11,PBK,CKAP2,NUSAP1,TTK,SGOL2,KIF2C,SHCBP1,KIF20A,GTF2I,CDCA8,MELK,CENPA,EXO1,CEP55,CDCA3,UBE2C,CDKN3,TMEM206,MRPL14,DHRS13,ALKBH2,ANLN,HJURP,NAB1,RMI2,AMIGO2,RCSD1
