GeneSet_des	Ori_p	Adj_p	gsSize	gsSize_net	intSize	intSize_net	OverlapSize	Essential overlapped genes (sorted by weight)	Essential neighbor genes (sorted by weight)
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	0.00092	0.017	30	27	170	151	1	B3GNT1	MATN2,ADAMTS5,ITIH5,LEPREL1,TLN2,GSTM5,THRA,TF,NDN,ACTG2,MAMDC2,GPM6B,IGFBP6,LPHN3,LARP6,PDGFA,CAV2,LAMA3,RBMS3,BOC,FIGF,CHL1,CRYAB,C3orf64,FAM13A,PALMD,COL17A1,SDPR,FXYD1,RHOJ,TCEAL2,CX3CL1,TNS4
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	0.0011	0.019	64	51	170	151	2	SPTBN1	MATN2,ADAMTS5,CAV1,ACTG2,LEPREL1,IGFBP6,DPYSL2,DMD,TMEM47,CRYAB,RBMS3,ADD3,CNN1,TLN2,LAMA3,GSTM5,RHOJ,TF,CAV2,KIT,PAK7,LARP6,DENND2A,BOC,OSR1,PDGFA,GPM6B,CHL1,LPHN3,LAMB3,EHBP1,B3GNT1,THRA,SCN3A,FIGF,RABIF,NPR1,SEMA5A,NR3C1,MAMDC2,SEMA6D,NDN,TCF7L2,TOP2A,EZH1,CRTAC1,PEAR1,EFHA2,ETV5,CX3CL1,ITIH5,SPRY2,SKI,SAV1,CHRDL1,SDPR,PAMR1,PALMD,PDE2A,IL11RA,C2orf68,GPRASP1,FXYD1,GPIHBP1,ITM2A,HLF,RGMA,MOCS1,CLDN5,COL17A1,CCDC8,LIFR,FOXN3,PDLIM4,TP63,ODZ2,MTHFD2,SCN4B,TRPC1,CD300LG,PPP1R14A,CBX7
KEGG_SMALL_CELL_LUNG_CANCER	0.0013	0.023	84	73	170	151	2	LAMA3,LAMB3	CAV1,MATN2,LEPREL1,SPTBN1,SMC4,RBMS3,ADAMTS5,CAV2,IGFBP6,TMEM47,NR3C1,NUSAP1,PDGFA,CNN1,ASF1B,CRYAB,DTL,UBE2C,COL17A1,CKAP2,RHOJ,TCF7L2,PRC1,DPYSL2,ACTG2,BOC,CCNB2,SAV1,DCTPP1,ECT2,SKI,PDLIM4,TOP2A,UBE2T,FOXO1,C2orf68,KIAA0101,GSTM5,PEAR1,EZH1,WHSC1,TLN2,ADD3,FIGF,PLEKHH2,MAMDC2,C3orf64,FOXN3,DENND2A,LIFR,SEMA6D,CHRDL1,NPR1,SDPR,CDKN3,ZWINT,TNS4,EHBP1,SPRY2,ITIH5,KIT,GPM6B,GNG7,LARP6,CX3CL1,SEMA5A,JUN,CLDN5,ETV5,ARHGAP19,SCN3A,PPL,GPRASP1,APCDD1
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION	0.0013	0.022	14	12	170	151	1		DMD,DENND2A,MATN2,PDGFA,LARP6,CAV1,SPTBN1,RBMS3,CAV2,RHOJ,BOC,CRYAB,NPR1,TLN2,CHL1,ETV5,ACTG2,TF,SEMA6D,HLF,KIT,IL11RA,SEMA5A,RGMA,TMEM47,FXYD1,IGFBP6,GSTM5,TNS4,ABCB1
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS	0.0014	0.024	10	7	170	151	1	FIGF	PDGFA,CAV2,CAV1,BOC,MATN2,IGFBP6,DPYSL2,TMEM47,TCF7L2,RBMS3,RHOJ,NPR1,SDPR,PDLIM4,SCARA5
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	0.0015	0.025	66	45	170	151	1		CKAP2,DTL,CCNB2,TOP2A,WHSC1,SMC4,PRC1,NUSAP1,ZWINT,SPTBN1,DPYSL2,ASF1B,ARHGAP19,UBE2T,KIAA0101,DCTPP1,CDKN3,ECT2,UBE2C,RABIF,ACTG2,JUN,ADD3,MTHFD2,SPRY2,NR3C1,CAV1,B3GNT1,KIT,EZH1,EFHA2,SKI,LPHN3,BOC,NDN,TF,CRYAB,SAV1,ABCB1,GPM6B,EHBP1,GPRASP1,RBMS3,SDPR,PDLIM4,MME
KEGG_TIGHT_JUNCTION	0.0024	0.039	134	113	170	151	3	CLDN5,CLDN11	SPTBN1,DMD,DPYSL2,TLN2,PAK7,ACTG2,TMEM47,CAV1,CRYAB,TF,PPL,CAV2,PDGFA,NR3C1,LPHN3,ADD3,CNN1,KIT,NDN,SPRY2,TCF7L2,TNS4,SDPR,RABIF,SEMA6D,BOC,GPM6B,LARP6,CBX7,LAMA3,MTHFD2,RBMS3,EFHA2,DCTPP1,EHBP1,MME,C3orf64,TOP2A,SCN3A,PDE2A,FIGF,ID4,RHOJ,IGFBP6,ECT2,PEAR1,NPR1,LIFR,SKI,ITM2A,FOXO1,FOXN3,PALMD,KL,GPRASP1,METTL7A,CD300LG,IL11RA,TRPC1,SEMA5A,TP63,COL17A1,TCEAL2,CX3CL1,THRA,CACHD1,FAM13A,GNG7,CHRDL1,CSRNP3,DENND2A
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	0.0024	0.039	15	13	170	151	2	SEMA6D,SEMA5A	CACHD1,LPHN3,DMD,PAK7,BOC,TP63,CHL1,SPTBN1,SDPR,CAV1,TMEM47,RBMS3,PEAR1,DPYSL2,HLF,TF,FAM13A,CAV2,TLN2,LEPREL1,PDGFA,NR3C1,TCF7L2,SPRY2,MATN2,RHOJ,LAMA3,CX3CL1,SAV1
REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2	0.0025	0.04	16	11	170	151	1		HLF,DMD,SEMA5A,CAV2,RGMA,DENND2A,ABCB1,CHL1
BIOCARTA_PAR1_PATHWAY	0.0026	0.041	37	28	170	151	0		SPTBN1,DPYSL2,DMD,PAK7,NR3C1,ADD3,SMC4,TF,GPM6B,SKI,EZH1,FOXO1,SPRY2,KIT,LARP6,TLN2,SEMA6D,CAV2,FOXN3,EHBP1,LPHN3,FAM13A,CX3CL1,CAV1,TNS4,GNG7,DENND2A,SEMA5A,USP31,SCN3A,THRA,RHOJ,RBMS3,EFHA2,NDN,RERGL,PDE2A,ID4,GPRASP1,B3GNT1,CACHD1,HLF,CHL1,GIPC2,CSRNP3,LAMA3,FIGF,NPR1,FXYD1,TP63
REACTOME_BASE_EXCISION_REPAIR	0.0027	0.042	19	16	170	151	0		TOP2A,SMC4,WHSC1,CCNB2,DCTPP1,DTL,CKAP2,NUSAP1,ASF1B,KIAA0101,PRC1,GLTSCR2,ARHGAP19,UBE2T,ZWINT,UBE2C,ECT2,CDKN3,MTHFD2,MME,METTL7A,C2orf68,MOCS1,JUN
REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION	0.0028	0.042	22	16	170	151	2	KL	DMD,DENND2A,MATN2,PDGFA,LARP6,CAV1,RBMS3,CAV2,RHOJ,BOC,CRYAB,NPR1,CHL1,ETV5,TLN2,SEMA6D,ACTG2,HLF,TF,SEMA5A,KIT,IL11RA,RGMA,FXYD1,TMEM47,IGFBP6,GSTM5,TNS4
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	0.0029	0.044	17	14	170	151	0		TOP2A,SMC4,CCNB2,DCTPP1,WHSC1,CKAP2,DTL,NUSAP1,ASF1B,KIAA0101,PRC1,ARHGAP19,GLTSCR2,UBE2T,ZWINT,ECT2,UBE2C,CDKN3,MTHFD2,MME,EZH1,METTL7A,MOCS1,JUN,C2orf68
BIOCARTA_MYOSIN_PATHWAY	0.0031	0.046	31	25	170	151	0		SPTBN1,DMD,PAK7,DPYSL2,NR3C1,ADD3,SMC4,EHBP1,GPM6B,TLN2,KIT,SPRY2,SKI,TF,FOXO1,CX3CL1,SEMA6D,CAV2,FAM13A,GNG7,EZH1,EFHA2,SEMA5A,DENND2A,USP31,RHOJ,RBMS3,RERGL,SCN3A,LPHN3,THRA,B3GNT1,GPRASP1,TNS4,LARP6,CHL1,GIPC2,CSRNP3,PDE2A,LAMA3,FIGF,NPR1,FXYD1,TP63
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION	0.0031	0.046	12	8	170	151	1		HLF,DMD,SEMA5A,CAV2,DENND2A,RGMA,CHL1
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	0.0034	0.05	12	11	170	151	0		MATN2,CAV1,FIGF,PDGFA,ADAMTS5,RHOJ,IGFBP6,ACTG2,GSTM5,LEPREL1,RBMS3,DPYSL2,OSR1,SPTBN1,CNN1,TLN2,PEAR1,DMD,CRYAB,LAMA3,TCF7L2,LPL,TF,CLDN5,ADD3,ITIH5,SAV1,NR3C1,SPRY2,DENND2A,BOC,DCTPP1,MAMDC2,KIT
